id,gender,age,school,educ,asvabc,height85,weight85,weight94,ethnic,faith,marital,sch_moth,sch_fath,siblings,library,pov78,exp,earnings,hours,lnexp,lnearn,lnage,expshare
4354,female,45,15,high school dip,54.90222,64,100,105,white,protestant,divorced,17,16,2,yes,no,4.326923,12,40,1.4648566,2.4849067,3.8066626,9.615384
1993,female,43,12,high school dip,50.81293,65,145,146,white,catholic,divorced,12,9,4,yes,no,4.365385,7.25,30,1.4737064,1.9810015,3.7612002,10.152059
2394,female,44,12,high school dip,61.99033,72,160,150,white,other,divorced,12,12,4,yes,no,4.442307,14.5,45,1.4911739,2.6741486,3.7841897,10.096152
3548,female,39,14,high school dip,38.54505,66,168,197,black,protestant,divorced,12,10,4,yes,no,4.519231,12.66,45,1.5083418,2.5384474,3.6635616,11.587771
1206,female,41,10,high school drop-out,42.36172,63,157,195,black,protestant,single,8,6,7,yes,yes,4.557693,5.5,40,1.5168166,1.704748,3.713572,11.116324
288,female,40,12,high school dip,40.18077,65,146,190,white,catholic,single,10,9,4,yes,no,4.576923,8.7,38,1.521027,2.163323,3.6888795,11.442307
3299,female,44,15,associate degree,49.99507,63,120,150,hispanic,catholic,married,12,12,3,yes,no,4.596154,20.19,40,1.5252199,3.0051875,3.7841897,10.445805
5332,female,42,15,no quals,60.35461,63,120,135,white,other,married,12,12,2,no,no,4.634615,18.75,30,1.5335531,2.9311938,3.7376697,11.034798
3225,female,39,14,associate degree,56.53794,65,128,165,white,catholic,married,12,14,3,yes,no,4.75,8.75,18,1.5581446,2.1690538,3.6635616,12.179487
2397,male,38,10,high school drop-out,34.18314,66,185,190,hispanic,,single,9,4,10,yes,no,4.865385,7.25,40,1.5821458,1.9810015,3.637586,12.803645
1238,female,44,13,associate degree,55.44746,67,205,255,white,other,married,12,12,7,yes,no,4.884615,8.75,40,1.5860904,2.1690538,3.7841897,11.1013975
3429,female,45,16,degree,64.44391,64,110,125,white,protestant,married,16,16,6,yes,no,4.923077,10,10,1.5939338,2.3025851,3.8066626,10.940171
11902,female,44,18,masters,49.99507,64,140,160,white,protestant,divorced,12,16,1,yes,no,4.923077,16.1,43,1.5939338,2.7788193,3.7841897,11.188811
1390,male,38,12,high school dip,43.17958,74,191,280,black,protestant,married,12,12,3,yes,no,5.076923,21.11,45,1.6247053,3.049747,3.637586,13.360323
11814,female,38,8,high school drop-out,30.09384,63,165,200,white,protestant,single,8,8,4,yes,no,5.096154,2.66,30,1.6284862,0.97832614,3.637586,13.410933
11764,female,40,12,high school drop-out,30.63908,62,103,130,black,protestant,divorced,11,10,9,no,yes,5.096154,9.38,37,1.6284862,2.2385798,3.6888795,12.740385
1775,female,38,13,high school dip,44.8153,60,105,125,hispanic,catholic,married,9,10,1,yes,no,5.173077,12.27,40,1.6434677,2.5071573,3.637586,13.61336
3543,female,38,12,high school dip,41.54387,67,183,260,black,protestant,divorced,11,7,4,yes,no,5.461538,6.25,40,1.6977304,1.8325815,3.637586,14.372468
3648,female,41,12,high school dip,49.99507,63,140,198,white,protestant,divorced,11,10,2,yes,no,5.576923,5.85,40,1.7186372,1.7664417,3.713572,13.602251
5442,female,39,15,high school dip,43.72482,59,110,120,white,catholic,married,13,14,2,no,no,5.576923,10,40,1.7186372,2.3025851,3.6635616,14.299802
2462,female,43,11,high school drop-out,45.08792,64,156,187,white,protestant,married,8,14,2,yes,no,5.596154,8,42,1.7220796,2.0794415,3.7612002,13.014312
1322,female,44,12,high school dip,41.27124,66,130,118,white,protestant,divorced,8,12,3,no,no,5.653846,5.15,24,1.7323359,1.6389967,3.7841897,12.849649
11798,female,41,15,high school dip,45.63316,62,132,155,black,protestant,single,12,12,3,yes,no,5.673077,9.75,40,1.7357317,2.2772672,3.713572,13.836774
1663,male,38,12,associate degree,43.72482,68,153,178,hispanic,catholic,divorced,12,12,7,yes,no,5.711538,22,60,1.7424883,3.0910425,3.637586,15.030363
1153,male,38,10,high school drop-out,33.09266,69,140,160,black,protestant,single,12,10,3,no,no,5.75,4.36,52,1.7491999,1.4724721,3.637586,15.131579
713,female,39,12,high school dip,38.27243,57,175,249,white,protestant,divorced,12,9,2,yes,no,5.769231,7.5,40,1.7525388,2.014903,3.6635616,14.792899
4796,female,40,14,associate degree,52.17603,63,120,185,white,catholic,divorced,12,7,2,yes,no,5.807693,8.8,40,1.7591834,2.1747518,3.6888795,14.519233
1370,female,38,12,high school dip,35.001,60,110,110,white,other,divorced,11,11,3,no,no,5.826923,15.38,15,1.7624891,2.733068,3.637586,15.334007
1308,female,41,12,high school drop-out,35.001,62,105,150,black,protestant,married,10,12,4,yes,yes,5.903846,6,45,1.775604,1.7917595,3.713572,14.399624
632,female,41,12,high school drop-out,33.36528,65,135,150,white,protestant,married,9,9,5,yes,no,5.923077,8.25,40,1.778856,2.1102133,3.713572,14.446529
939,female,43,12,high school dip,39.90815,66,130,128,white,catholic,divorced,12,10,5,yes,no,5.961538,9,40,1.7853285,2.1972246,3.7612002,13.864041
11876,female,41,12,high school dip,41.81648,60,87,115,white,protestant,married,11,12,1,yes,no,6,9,45,1.7917595,2.1972246,3.713572,14.634147
5305,female,40,12,high school dip,42.63434,59,95,135,white,other,married,12,9,3,yes,yes,6.038462,7.25,45,1.7981493,1.9810015,3.6888795,15.096155
3074,female,41,12,high school dip,28.73074,66,165,169,black,other,single,11,9,1,yes,no,6.096154,7,40,1.8076581,1.9459101,3.713572,14.868669
11970,female,44,12,high school dip,41.54387,60,110,119,hispanic,catholic,divorced,12,15,2,yes,no,6.115385,6.25,20,1.8108077,1.8325815,3.7841897,13.8986025
3544,female,39,12,high school dip,34.72837,64,150,255,black,protestant,divorced,11,11,13,yes,no,6.115385,7.85,12,1.8108077,2.0605135,3.6635616,15.680474
2928,female,39,16,degree,62.80819,59,102,125,white,catholic,married,12,16,3,yes,no,6.134615,7.07,15,1.8139473,1.9558605,3.6635616,15.729782
11878,female,38,12,high school dip,42.63434,62,150,165,white,other,divorced,9,12,5,yes,yes,6.153846,9.25,50,1.8170772,2.2246234,3.637586,16.19433
11846,male,39,12,high school dip,35.27361,70,168,189,hispanic,catholic,divorced,6,9,3,yes,no,6.211538,16.42,40,1.8264085,2.7985,3.6635616,15.92702
4293,male,45,18,masters,61.99033,70,170,185,white,protestant,married,12,12,2,yes,no,6.25,17.44,40,1.8325815,2.8587666,3.8066626,13.888889
227,female,44,12,high school dip,34.45576,63,135,160,black,protestant,married,9,9,4,yes,yes,6.269231,7.5,30,1.8356537,2.014903,3.7841897,14.248252
530,female,45,9,high school drop-out,39.36291,66,131,150,white,protestant,married,5,8,1,no,no,6.326923,6.1,40,1.8448141,1.8082888,3.8066626,14.059829
1277,female,38,17,degree,50.54031,66,124,150,white,other,married,12,14,5,yes,no,6.384615,26.49,45,1.8538911,3.2767673,3.637586,16.801619
1840,female,41,12,high school dip,39.36291,63,130,140,hispanic,catholic,divorced,10,11,2,yes,yes,6.384615,7,40,1.8538911,1.9459101,3.713572,15.572231
3096,female,43,13,high school dip,56.26532,63,106,112,white,catholic,married,12,10,3,yes,no,6.403846,10,24,1.8568987,2.3025851,3.7612002,14.892665
5412,male,41,14,associate degree,64.71653,72,200,280,white,protestant,married,12,9,2,yes,no,6.442307,19.87,40,1.8628867,2.989211,3.713572,15.712944
4110,female,40,12,high school dip,48.63197,63,115,140,white,protestant,married,10,12,2,no,no,6.461538,5.2,48,1.8658674,1.6486586,3.6888795,16.153845
4504,male,40,12,high school drop-out,28.73074,66,155,160,white,protestant,divorced,12,16,4,yes,yes,6.538462,6,30,1.877702,1.7917595,3.6888795,16.346155
1313,female,41,12,high school dip,28.73074,63,139,208,black,protestant,divorced,12,9,1,yes,yes,6.596154,8.26,18,1.8864868,2.1114247,3.713572,16.08818
336,male,39,12,high school dip,42.0891,69,130,175,black,protestant,single,12,12,0,yes,no,6.692307,13.5,60,1.9009587,2.6026897,3.6635616,17.159761
11891,female,44,12,high school dip,33.6379,62,115,138,hispanic,catholic,married,6,6,2,no,no,6.711538,8.5,40,1.9038281,2.1400661,3.7841897,15.253495
3942,male,44,11,high school drop-out,34.18314,74,180,175,black,protestant,single,12,6,7,yes,yes,6.730769,6.15,20,1.9066894,1.8164521,3.7841897,15.297203
360,female,40,19,masters,61.44509,62,98,115,white,protestant,married,16,16,2,yes,no,6.769231,8.7,30,1.9123875,2.163323,3.6888795,16.923077
1258,female,40,14,associate degree,58.44628,66,142,135,white,other,married,12,9,3,yes,no,6.826923,6.4,20,1.920874,1.856298,3.6888795,17.067307
3798,female,40,18,masters,51.90341,65,125,150,white,jewish,married,12,12,3,yes,no,6.980769,28.57,35,1.9431591,3.3523571,3.6888795,17.451923
3697,female,39,12,high school dip,40.45338,64,130,140,hispanic,catholic,single,9,3,5,no,no,6.980769,6.85,20,1.9431591,1.9242487,3.6635616,17.899408
5317,female,38,12,high school dip,58.99152,64,125,140,white,other,divorced,16,12,4,yes,no,7.019231,7,20,1.9486537,1.9459101,3.637586,18.47166
4470,male,39,18,masters,52.99389,72,180,190,white,catholic,married,12,15,2,yes,no,7.019231,21.92,50,1.9486537,3.0873995,3.6635616,17.998028
11929,female,44,20,phd,63.35343,71,125,170,white,protestant,married,12,15,3,yes,no,7.019231,28.04,48,1.9486537,3.333632,3.7841897,15.952797
11923,female,41,14,associate degree,46.99625,63,120,140,white,catholic,married,12,12,1,yes,no,7.038462,9,20,1.9513897,2.1972246,3.713572,17.16698
761,female,43,15,high school dip,53.26651,65,135,200,white,catholic,married,12,12,5,yes,yes,7.096154,10.15,42,1.959553,2.3174736,3.7612002,16.502684
2405,female,42,16,associate degree,33.36528,66,127,140,white,protestant,married,10,9,5,yes,no,7.134615,16.95,45,1.9649583,2.830268,3.7376697,16.987179
5286,female,40,12,high school dip,46.45102,68,143,180,white,protestant,married,10,10,3,yes,no,7.211538,2.6,40,1.9756823,0.9555114,3.6888795,18.028845
2662,female,40,12,high school dip,46.72364,60,184,125,hispanic,catholic,divorced,7,8,6,no,yes,7.211538,6,30,1.9756823,1.7917595,3.6888795,18.028845
3397,female,38,12,high school dip,46.72364,69,125,130,white,catholic,married,12,12,3,yes,no,7.230769,8.2,17,1.9783454,2.104134,3.637586,19.02834
4020,male,38,12,high school dip,39.36291,64,149,162,black,protestant,married,8,11,2,yes,no,7.25,8.12,40,1.9810015,2.09433,3.637586,19.078947
12057,female,39,12,high school dip,51.90341,71,145,140,white,other,married,16,14,2,yes,no,7.25,3.84,55,1.9810015,1.3454723,3.6635616,18.589743
3819,female,39,12,high school dip,36.63671,66,119,176,black,protestant,married,12,12,4,yes,no,7.307693,6.25,40,1.9889276,1.8325815,3.6635616,18.737675
682,female,39,12,high school dip,43.4522,68,140,190,black,protestant,single,9,8,12,yes,yes,7.307693,9.5,40,1.9889276,2.2512918,3.6635616,18.737675
4740,male,38,12,high school dip,49.17721,72,135,185,white,none,divorced,12,12,0,yes,no,7.326923,12,40,1.9915557,2.4849067,3.637586,19.281376
1502,female,38,16,degree,63.62605,66,130,150,white,catholic,married,16,16,3,yes,no,7.326923,28,26,1.9915557,3.3322046,3.637586,19.281376
11950,female,41,12,high school dip,35.54623,63,207,214,black,other,married,9,7,3,no,yes,7.346154,7.5,20,1.994177,2.014903,3.713572,17.91745
4169,female,42,12,high school dip,39.36291,65,125,121,black,protestant,single,3,4,1,no,no,7.365385,6,25,1.9967914,1.7917595,3.7376697,17.53663
3094,female,43,12,high school dip,42.36172,62,130,160,white,catholic,married,8,11,1,no,no,7.403846,6.25,40,2.0019996,1.8325815,3.7612002,17.218246
1165,female,44,12,high school dip,36.90933,66,283,215,black,protestant,married,0,0,17,yes,no,7.423077,5.75,40,2.0045936,1.7491999,3.7841897,16.87063
12010,male,39,20,masters,59.80938,74,170,200,hispanic,catholic,single,12,12,1,yes,no,7.423077,19.58,54,2.0045936,2.9745085,3.6635616,19.033531
3576,female,42,12,high school dip,52.99389,66,120,155,white,catholic,married,12,12,4,yes,no,7.557693,6,16,2.022566,1.7917595,3.7376697,17.994507
5613,male,39,12,high school dip,27.64027,66,149,161,black,protestant,single,12,12,8,yes,yes,7.692307,8,50,2.0402207,2.0794415,3.6635616,19.723864
1361,female,38,8,high school drop-out,41.81648,60,87,105,white,protestant,divorced,10,10,1,no,no,7.711538,7.5,60,2.0427177,2.014903,3.637586,20.29352
3041,female,43,13,high school dip,64.98915,66,126,165,white,protestant,married,12,8,1,yes,yes,7.788462,2.13,30,2.0526435,0.75612205,3.7612002,18.112703
1324,female,39,15,high school dip,42.0891,63,139,280,white,catholic,married,13,14,1,yes,no,7.788462,3.57,14,2.0526435,1.2725656,3.6635616,19.970415
5189,female,39,12,high school dip,51.63079,62,178,220,white,protestant,married,4,9,2,yes,no,7.826923,9,40,2.0575695,2.1972246,3.6635616,20.069033
743,female,42,18,masters,59.80938,68,140,140,white,other,married,14,20,1,yes,no,7.884615,12,24,2.0649133,2.4849067,3.7376697,18.772892
2266,male,37,12,high school dip,31.18432,70,156,175,black,protestant,single,12,5,5,yes,no,7.903846,8.33,24,2.0673494,2.1198635,3.6109178,21.361746
11911,male,42,13,high school dip,54.6296,70,170,195,white,protestant,married,12,12,7,yes,no,7.942307,15.03,40,2.0722039,2.7100482,3.7376697,18.910255
764,female,39,14,no quals,43.72482,60,115,160,hispanic,catholic,divorced,8,12,5,yes,no,7.961538,8.44,40,2.0746222,2.1329823,3.6635616,20.4142
698,female,43,10,high school drop-out,36.63671,69,120,123,white,protestant,divorced,7,12,3,yes,no,8.019231,6.23,21,2.0818424,1.8293763,3.7612002,18.649374
4410,male,40,16,degree,58.7189,73,155,155,white,protestant,married,12,14,3,no,no,8.076923,27.4,40,2.089011,3.310543,3.6888795,20.192308
1087,female,39,18,masters,66.07963,64,115,107,white,catholic,married,16,18,2,yes,no,8.153846,23.07,10,2.0984898,3.138533,3.6635616,20.907297
5014,female,38,10,high school drop-out,33.36528,67,122,170,white,protestant,married,12,11,0,yes,no,8.153846,9,40,2.0984898,2.1972246,3.637586,21.457489
5392,male,38,14,associate degree,59.53675,71,164,212,white,other,married,12,13,3,no,no,8.173077,17.66,40,2.1008453,2.8713021,3.637586,21.508097
3971,male,39,19,masters,65.80701,74,180,220,white,protestant,married,14,11,2,yes,no,8.230769,32.69,50,2.1078794,3.4870691,3.6635616,21.104536
4085,female,39,12,high school dip,42.63434,64,113,103,white,protestant,divorced,10,8,1,no,no,8.230769,7,38,2.1078794,1.9459101,3.6635616,21.104536
4544,female,38,12,high school dip,30.9117,59,125,136,hispanic,catholic,married,7,11,3,yes,yes,8.25,5.76,20,2.1102133,1.7509375,3.637586,21.710526
3721,male,42,12,high school dip,62.53557,70,180,240,white,protestant,divorced,16,11,3,yes,no,8.25,20.35,40,2.1102133,3.0130808,3.7376697,19.642857
1438,female,39,12,high school dip,33.6379,65,163,200,black,catholic,single,10,9,2,yes,yes,8.288462,7,40,2.1148643,1.9459101,3.6635616,21.252466
4382,male,40,16,degree,65.80701,67,145,180,white,none,married,12,12,2,yes,no,8.288462,19.68,42,2.1148643,2.9796028,3.6888795,20.721153
1285,female,38,8,high school drop-out,41.27124,65,135,170,white,protestant,divorced,10,14,2,yes,no,8.365385,5.75,40,2.1241024,1.7491999,3.637586,22.014172
2675,female,39,7,high school drop-out,38.27243,61,98,111,hispanic,catholic,divorced,3,2,5,no,yes,8.461538,6,25,2.135531,1.7917595,3.6635616,21.696253
141,female,39,18,degree,58.44628,64,130,130,white,other,single,12,16,2,yes,no,8.557693,20,50,2.1468306,2.9957323,3.6635616,21.9428
4153,female,39,15,high school dip,50.54031,69,130,130,white,other,divorced,12,10,4,yes,yes,8.576923,21.63,40,2.1490753,3.0740812,3.6635616,21.992111
454,female,40,17,degree,57.3558,68,125,135,white,catholic,divorced,12,12,2,yes,no,8.615385,8,40,2.1535497,2.0794415,3.6888795,21.538464
585,female,39,9,high school drop-out,41.54387,61,110,115,white,protestant,married,12,12,3,yes,no,8.653846,10.4,25,2.1580038,2.3418057,3.6635616,22.189348
1268,male,43,16,degree,64.98915,73,165,190,white,protestant,married,12,12,2,yes,no,8.692307,27.09,55,2.1624384,3.2991648,3.7612002,20.214668
3469,female,37,18,masters,63.35343,64,130,160,white,catholic,married,12,10,0,yes,no,8.711538,7.01,20,2.1646483,1.9473377,3.6109178,23.544699
2296,female,39,19,masters,43.4522,64,115,147,white,protestant,married,12,18,3,yes,no,8.730769,26.08,46,2.1668534,3.2611687,3.6635616,22.386587
5536,female,40,12,high school dip,46.45102,65,120,130,black,protestant,divorced,7,3,11,no,yes,8.730769,53.06,49,2.1668534,3.9714234,3.6888795,21.826923
4799,male,40,18,degree,64.98915,69,225,230,white,protestant,single,12,8,2,yes,no,8.75,15.5,40,2.1690538,2.74084,3.6888795,21.875
1797,female,39,9,high school drop-out,51.08555,63,151,250,white,none,divorced,12,11,1,no,yes,8.75,9,40,2.1690538,2.1972246,3.6635616,22.435898
3208,male,42,16,degree,63.89867,70,235,270,white,catholic,married,11,12,3,yes,no,8.769231,37.06,55,2.1712492,3.6125383,3.7376697,20.879122
1503,male,38,20,phd,60.62724,70,140,180,white,protestant,married,16,18,1,yes,no,8.788462,18.63,50,2.1734397,2.9247732,3.637586,23.127531
2515,female,40,16,degree,58.7189,67,130,168,white,protestant,married,12,11,4,yes,no,8.788462,10.76,50,2.1734397,2.3758357,3.6888795,21.971153
1042,male,40,12,high school dip,45.90578,69,160,180,white,protestant,single,14,14,6,yes,yes,8.788462,15,50,2.1734397,2.7080503,3.6888795,21.971153
2681,female,40,1,high school drop-out,33.36528,61,121,152,hispanic,catholic,married,3,3,12,no,yes,8.788462,4.84,12,2.1734397,1.5769148,3.6888795,21.971153
5315,female,42,14,high school dip,52.72127,67,117,135,white,other,divorced,16,12,4,yes,no,8.846154,11.25,24,2.179983,2.4203682,3.7376697,21.062271
3393,female,37,17,degree,39.63553,61,105,154,black,protestant,married,17,16,2,yes,no,8.846154,15,40,2.179983,2.7080503,3.6109178,23.908525
3361,male,38,19,masters,56.81056,70,155,175,white,protestant,married,12,16,2,yes,no,8.865385,25.76,50,2.1821544,3.248823,3.637586,23.32996
1071,female,40,12,high school dip,37.18195,62,160,179,black,catholic,married,10,10,3,yes,no,8.865385,6.75,20,2.1821544,1.9095426,3.6888795,22.163464
2265,female,40,14,high school dip,40.18077,66,134,180,black,other,married,12,12,4,yes,yes,8.865385,9.4,40,2.1821544,2.2407095,3.6888795,22.163464
2642,male,40,18,masters,63.89867,71,140,170,white,protestant,married,16,18,1,yes,no,8.865385,22.97,42,2.1821544,3.134189,3.6888795,22.163464
5271,female,40,12,high school drop-out,48.35935,60,117,150,white,protestant,married,8,8,13,yes,yes,8.884615,10.16,40,2.1843212,2.3184583,3.6888795,22.211536
3497,male,37,15,associate degree,60.62724,71,175,225,white,catholic,married,11,8,4,no,no,8.903846,30.15,50,2.1864834,3.406185,3.6109178,24.064447
2658,male,40,12,high school drop-out,33.6379,67,185,205,hispanic,none,divorced,5,5,3,no,yes,8.903846,8,40,2.1864834,2.0794415,3.6888795,22.259615
3121,female,42,12,high school dip,58.44628,63,150,180,white,protestant,married,12,12,4,yes,no,8.923077,9.71,40,2.1886408,2.2731564,3.7376697,21.24542
11930,female,42,12,high school drop-out,36.09147,64,206,230,white,protestant,married,11,12,1,yes,yes,8.961538,9.1,40,2.192942,2.2082744,3.7376697,21.336996
2530,female,38,12,high school dip,39.63553,65,140,140,white,protestant,married,9,12,2,no,no,8.961538,6,35,2.192942,1.7917595,3.637586,23.582996
1609,female,45,12,high school drop-out,53.26651,64,135,180,white,protestant,married,5,10,4,no,no,8.980769,6,30,2.1950855,1.7917595,3.8066626,19.957264
2809,female,41,16,degree,60.89985,63,120,160,white,protestant,married,9,12,3,yes,no,9,16.77,40,2.1972246,2.8195915,3.713572,21.95122
4747,male,38,12,high school dip,36.36409,65,145,200,white,other,divorced,9,8,5,yes,no,9.038462,9.25,40,2.201489,2.2246234,3.637586,23.785425
5159,female,41,12,high school drop-out,43.99744,68,135,148,white,other,divorced,14,12,3,yes,yes,9.057693,7,35,2.2036145,1.9459101,3.713572,22.091932
4842,female,38,18,masters,51.08555,63,125,130,white,protestant,divorced,12,13,2,yes,no,9.076923,96.15,60,2.2057352,4.5659094,3.637586,23.88664
4313,male,38,12,high school drop-out,36.36409,71,155,170,black,other,divorced,11,10,6,no,yes,9.076923,7.5,40,2.2057352,2.014903,3.637586,23.88664
11879,female,41,12,high school dip,53.81174,65,125,134,white,catholic,married,12,13,2,yes,no,9.096154,4.15,25,2.2078516,1.4231083,3.713572,22.185741
85,male,43,11,high school drop-out,29.82122,64,139,165,black,none,single,11,11,7,yes,no,9.153846,8.75,40,2.214174,2.1690538,3.7612002,21.288013
2272,female,41,12,high school dip,52.44865,65,135,133,black,protestant,divorced,12,12,1,yes,no,9.192307,25.91,40,2.218367,3.254629,3.713572,22.420261
3572,female,37,10,high school drop-out,39.36291,68,165,195,white,protestant,married,9,10,4,no,no,9.25,20.83,12,2.2246234,3.0363944,3.6109178,25
2870,male,40,18,masters,61.71771,68,165,205,white,catholic,married,15,16,5,yes,no,9.25,22.39,46,2.2246234,3.1086144,3.6888795,23.125
11998,male,42,18,degree,63.35343,68,167,190,white,protestant,married,15,13,1,yes,no,9.25,44.18,40,2.2246234,3.7882721,3.7376697,22.02381
4642,male,38,13,high school dip,51.35817,74,180,200,white,protestant,married,12,16,2,yes,no,9.269231,38.88,45,2.2267003,3.66048,3.637586,24.392714
3162,female,38,16,degree,63.35343,62,105,110,white,catholic,married,10,19,0,yes,no,9.288462,12,20,2.2287729,2.4849067,3.637586,24.44332
4537,female,42,14,associate degree,46.1784,63,135,170,black,other,divorced,6,6,4,no,yes,9.307693,22,40,2.2308412,3.0910425,3.7376697,22.161173
3164,female,43,12,high school dip,38.54505,64,118,120,white,catholic,married,10,9,3,yes,no,9.346154,12,30,2.2349648,2.4849067,3.7612002,21.735243
4541,female,42,12,high school dip,37.72719,59,110,110,hispanic,catholic,divorced,7,11,3,yes,yes,9.384615,8,32,2.2390716,2.0794415,3.7376697,22.344322
2359,female,44,15,high school dip,34.45576,59,100,125,black,protestant,divorced,12,12,9,yes,yes,9.384615,6.73,40,2.2390716,1.9065752,3.7841897,21.32867
1281,female,38,16,associate degree,56.53794,66,115,126,white,protestant,married,12,12,2,yes,no,9.423077,18.75,16,2.2431617,2.9311938,3.637586,24.79757
2315,female,43,13,high school drop-out,34.45576,68,145,160,white,catholic,married,14,8,3,no,no,9.480769,10.83,60,2.2492654,2.3823202,3.7612002,22.0483
5233,female,39,12,high school dip,48.63197,67,120,130,white,protestant,married,12,16,4,yes,no,9.5,9,24,2.2512918,2.1972246,3.6635616,24.358974
2669,female,43,12,high school dip,39.09029,55,110,130,hispanic,catholic,married,6,6,3,yes,no,9.5,5.15,40,2.2512918,1.6389967,3.7612002,22.093023
